codigoUc;mesReferencia;valorFatura;dataPagamento;banco
3095134910;01/10/2025;7.641,14;21/11/2025;C6_BANK
3095589850;01/10/2025;142,01;24/11/2025;C6_BANK
3095589850;01/11/2025;139,61;24/11/2025;C6_BANK
3093313948;01/10/2025;1.097,60;24/11/2025;C6_BANK
3095400749;01/11/2025;902,69;26/11/2025;C6_BANK
3092607662;01/10/2025;963,63;26/11/2025;C6_BANK
4003250772;01/11/2025;811,54;26/11/2025;C6_BANK
3090582274;01/10/2025;929,63;02/12/2025;C6_BANK
3090667934;01/10/2025;380,83;02/12/2025;C6_BANK
3091036353;01/10/2025;557,39;02/12/2025;C6_BANK
3090656984;01/10/2025;437,06;08/12/2025;C6_BANK
3095134910;01/11/2025;7.726,63;10/12/2025;C6_BANK
3090768932;01/10/2025;402,06;12/12/2025;C6_BANK
3090768932;01/11/2025;379,27;12/12/2025;C6_BANK
3090579398;01/11/2025;741,12;15/12/2025;C6_BANK
4003698872;01/11/2025;5.667,46;16/12/2025;C6_BANK
3090582274;01/11/2025;2.938,26;16/12/2025;C6_BANK
3091496341;01/11/2025;751,65;17/12/2025;C6_BANK
3082099467;01/11/2025;316,91;17/12/2025;C6_BANK
3095196256;01/11/2025;1.508,15;17/12/2025;C6_BANK
3095562977;01/11/2025;906,18;17/12/2025;C6_BANK
3090693847;01/11/2025;113,8;17/12/2025;C6_BANK
3093313948;01/11/2025;1.287,42;17/12/2025;C6_BANK
3092636445;01/11/2025;227,39;17/12/2025;C6_BANK
3092227405;01/11/2025;684,18;17/12/2025;C6_BANK
3090579397;01/11/2025;191,19;17/12/2025;C6_BANK
4003993154;01/11/2025;2.164,00;17/12/2025;C6_BANK
3095229213;01/11/2025;92,99;23/12/2025;C6_BANK
4003548077;01/11/2025;114,59;23/12/2025;C6_BANK
3090582291;01/11/2025;1.721,43;23/12/2025;C6_BANK
3095400731;01/11/2025;509,07;23/12/2025;C6_BANK
3091159533;01/11/2025;313,3;23/12/2025;C6_BANK
3092707047;01/11/2025;718,73;23/12/2025;C6_BANK
4003327541;01/11/2025;919,01;23/12/2025;C6_BANK
4003327542;01/11/2025;71,95;23/12/2025;C6_BANK
3095625622;01/11/2025;212,37;23/12/2025;C6_BANK
3095209861;01/11/2025;424,8;23/12/2025;C6_BANK
3095322370;01/11/2025;433,17;23/12/2025;C6_BANK
3093257025;01/11/2025;547,02;23/12/2025;C6_BANK
3095147868;01/11/2025;443,65;23/12/2025;C6_BANK
3093262301;01/11/2025;369,34;23/12/2025;C6_BANK
3090623032;01/11/2025;301,84;23/12/2025;C6_BANK
3095301272;01/11/2025;932,63;23/12/2025;C6_BANK
3095156869;01/11/2025;957,27;23/12/2025;C6_BANK
3095209053;01/11/2025;699,71;23/12/2025;C6_BANK
3095208677;01/11/2025;826,54;23/12/2025;C6_BANK
3095150950;01/11/2025;482,56;23/12/2025;C6_BANK
4003327543;01/11/2025;474,12;23/12/2025;C6_BANK
3090656985;01/11/2025;661,62;23/12/2025;C6_BANK
3095194198;01/11/2025;764,89;23/12/2025;C6_BANK
3090657453;01/11/2025;437,57;23/12/2025;C6_BANK
4003513902;01/11/2025;926,71;23/12/2025;C6_BANK
4002293699;01/11/2025;667,31;23/12/2025;C6_BANK
4003514072;01/11/2025;1.307,84;23/12/2025;C6_BANK
3090656152;01/11/2025;1.309,71;23/12/2025;C6_BANK
3090691461;01/11/2025;1.109,70;23/12/2025;C6_BANK
3090667934;01/11/2025;771,97;23/12/2025;C6_BANK
4002435906;01/11/2025;122,9;30/12/2025;C6_BANK
3092608534;01/11/2025;187,62;30/12/2025;C6_BANK
3090657265;01/11/2025;202,8;30/12/2025;C6_BANK
3095229213;01/12/2025;226,72;30/12/2025;C6_BANK
4003548077;01/12/2025;257,09;30/12/2025;C6_BANK
3090657009;01/11/2025;1.001,76;30/12/2025;C6_BANK
